iter	Passed	Remaining
0	1	106
1	1	95
2	2	90
3	3	82
4	4	81
5	5	83
6	6	85
7	7	84
8	8	82
9	9	81
10	9	79
11	10	78
12	11	77
13	12	75
14	13	74
15	13	72
16	14	71
17	15	70
18	16	68
19	16	67
20	17	66
21	18	65
22	19	64
23	20	63
24	20	62
25	21	61
26	22	60
27	23	59
28	24	58
29	24	58
30	25	57
31	26	56
32	27	55
33	28	55
34	29	54
35	30	53
36	30	52
37	31	51
38	32	51
39	33	50
40	34	49
41	34	47
42	35	47
43	36	46
44	37	45
45	38	44
46	39	44
47	40	43
48	41	42
49	42	42
50	42	41
51	43	40
52	44	39
53	45	38
54	45	37
55	46	36
56	47	35
57	48	35
58	49	34
59	50	33
60	50	32
61	51	31
62	52	30
63	53	30
64	54	29
65	55	28
66	56	27
67	57	26
68	57	26
69	58	25
70	59	24
71	60	23
72	61	22
73	62	21
74	63	21
75	63	20
76	64	19
77	65	18
78	66	17
79	67	16
80	68	16
81	69	15
82	70	14
83	71	13
84	72	12
85	72	11
86	73	11
87	74	10
88	75	9
89	76	8
90	77	7
91	78	6
92	79	5
93	79	5
94	80	4
95	81	3
96	82	2
97	83	1
98	84	0
99	85	0
